ticker;date;open;high;low;close;volume;adj_close
BCY.SI;2/13/2017;1.125;1.13;1.125;1.13;14800;1.13
BCY.SI;2/10/2017;1.125;1.125;1.125;1.125;0;1.125
BCY.SI;2/9/2017;1.125;1.125;1.125;1.125;0;1.125
BCY.SI;2/8/2017;1.125;1.125;1.125;1.125;3100;1.125
BCY.SI;2/7/2017;1.12;1.12;1.12;1.12;0;1.12
BCY.SI;2/6/2017;1.12;1.12;1.12;1.12;5000;1.12
BCY.SI;2/3/2017;1.12;1.12;1.12;1.12;0;1.12
BCY.SI;2/2/2017;1.13;1.13;1.12;1.12;9600;1.12
BCY.SI;2/1/2017;1.13;1.13;1.115;1.115;12300;1.115
BCY.SI;1/31/2017;1.1;1.115;1.1;1.115;4500;1.115
BCY.SI;1/30/2017;1.12;1.12;1.12;1.12;0;1.12
