Stock Name;Ticker;Exchange Name;Currency
Keppel Corp Ltd;BN4.SI;SES;SGD
Noble Group Ltd;N21.SI;SES;SGD
SEMBCorp Industries Ltd;U96.SI;SES;SGD
DBS Group Holdings Ltd;D05.SI;SES;SGD
United Overseas Bank Ltd;U11.SI;SES;SGD
Global Logistic Properties Ltd;MC0.SI;SES;SGD
ComfortDelGro Corp Ltd;C52.SI;SES;SGD
CapitaLand Ltd;C31.SI;SES;SGD
SATS Ltd;S58.SI;SES;SGD
Singapore Airlines Limited;C6L.SI;SES;SGD
Hongkong Land Holdings Ltd;H78.SI;SES;SGD
StarHub Ltd;CC3.SI;SES;SGD
新加坡技術動力有限公司;S63.SI;SES;SGD
華僑銀行有限公司;O39.SI;SES;SGD
Capitamall Trust;C38U.SI;SES;SGD
$ Starburst;40D.SI;SES;SGD
Singapore Exchange Ltd;S68.SI;SES;SGD
Singapore Exchange Ltd;S68.SI;SES;SGD
華僑銀行有限公司;O39.SI;SES;SGD
