BN4.SI;Keppel Corp Ltd;6.24;Stock;SES;
N21.SI;Noble Group Ltd;0.17;Stock;SES;
U96.SI;SEMBCorp Industries Ltd;3.19;Stock;SES;
D05.SI;DBS Group Holdings Ltd;18.81;Stock;SES;
U11.SI;United Overseas Bank Ltd;20.85;Stock;SES;
MC0.SI;Global Logistic Properties Ltd;2.58;Stock;SES;
C52.SI;ComfortDelGro Corp Ltd;2.42;Stock;SES;
C31.SI;CapitaLand Ltd;3.34;Stock;SES;
S58.SI;SATS Ltd;5.25;Stock;SES;
C6L.SI;Singapore Airlines Limited;10.00;Stock;SES;
H78.SI;Hongkong Land Holdings Ltd;6.72;Stock;SES;
CC3.SI;StarHub Ltd;3.02;Stock;SES;
S63.SI;新加坡技術動力有限公司;3.29;Stock;SES;
O39.SI;華僑銀行有限公司;9.39;Stock;SES;
C38U.SI;Capitamall Trust;1.95;Stock;SES;
40D.SI;$ Starburst;0.23;Stock;SES;
S68.SI;Singapore Exchange Ltd;7.41;Stock;SES;
S59.SI;SIA Engineering Co Ltd;3.56;Stock;SES;
S10.SI;超級集團有限公司;1.29;Stock;SES;
MN5.SI;XinRen Aluminum Holdings Ltd;0.60;Stock;SES;
E5H.SI;Golden Agri-Resources Ltd;0.43;Stock;SES;
B20.SI;Biosensors International Group Ltd;0.83;Stock;SES;
5TP.SI;$ CNMC Goldmine;0.42;Stock;SES;
Y92.SI;Thai Beverage PLC;0.87;Stock;SES;
T39.SI;新加坡報業控股有限公司;3.49;Stock;SES;
SK7.SI;OUE Hospitality Trust;0.69;Stock;SES;
SK3.SI;KrisEnergy Ltd;0.19;Stock;SES;
OV8.SI;Sheng Siong Group Ltd;0.95;Stock;SES;
J7X.SI;Tiger Airways Holdings Ltd;0.46;Stock;SES;
G13.SI;Genting Singapore PLC;0.98;Stock;SES;
G07.SI;Great Eastern Hldgs Ltd;20.73;Stock;SES;
F34.SI;Wilmar International Ltd;3.94;Stock;SES;
D5IU.SI;Lippo Malls Indonesia Retail Trust;0.39;Stock;SES;
D1R.SI;ARA Asset Management Limited;1.71;Stock;SES;
AWI.SI;Thakral Corporation Ltd;0.22;Stock;SES;
5WA.SI;$ IHC;0.07;Stock;SES;
5IG.SI;Gallant Venture Ltd;0.12;Stock;SES;
558.SI;UMS Holdings Ltd;0.64;Stock;SES;
Z74.SI;Singapore Telecommunications Limited;3.89;Stock;SES;
T82U.SI;Suntec Real Estate Inv Trust;1.69;Stock;SES;
R01.SI;Raffles Medical Group Ltd;4.61;Stock;SES;
P8Z.SI;Bumitama Agri Ltd;0.80;Stock;SES;
P8A.SI;Cordlife Group Ltd;0.97;Stock;SES;
O9E.SI;Parkson retail Asia Ltd;0.12;Stock;SES;
O23.SI;Osim International Ltd;1.39;Stock;SES;
NS8U.SI;Hutchison Port Holdings Trust;0.43;Stock;SES;
N4E.SI;Nam Cheong Limited;0.06;Stock;SES;
J37.SI;Jardine Strategic Holdings Ltd;38.01;Stock;SES;
D03.SI;Del Monte Pacific Ltd;0.35;Stock;SES;
C61U.SI;CapitaCommercial Trust;1.54;Stock;SES;
C09.SI;City Developments Ltd;9.22;Stock;SES;
C07.SI;Jardine Cycle & Carriage Ltd;41.32;Stock;SES;
BS6.SI;Yangzijiang Shipbuilding (Holdings) Ltd;0.82;Stock;SES;
BCV.SI;Qian Hu Corporation Limited;0.17;Stock;SES;
AP4.SI;Riverstone Holdings Ltd;0.89;Stock;SES;
ADP.SI;Swissco Holdings Ltd;0.05;Stock;SES;
A35.SI;ABF Singapore Bond Index Fund;1.14;Stock;SES;
A26.SI;亞洲食品及不動產有限公司;0.45;Stock;SES;
A17U.SI;Ascendas Real Estate Inv Trust;2.46;Stock;SES;
A04.SI;ASL Marine Holdings Ltd;0.14;Stock;SES;
600.SI;Hyflux Ltd;0.53;Stock;SES;
5PL.SI;SBI Offshore Ltd.;0.09;Stock;SES;
5OU.SI;China Environment Ltd;0.04;Stock;SES;
5ME.SI;Ezion Holdings Ltd;0.42;Stock;SES;
5FL.SI;Falcon Energy Group Ltd;0.14;Stock;SES;
5DA.SI;BreadTalk Group Ltd;1.29;Stock;SES;
593.SI;Lee Metal Group Ltd;0.31;Stock;SES;
573.SI;Challenger Technologies Limited;0.49;Stock;SES;
42R.SI;Jumbo Group Limited;0.77;Stock;SES;
40N.SI;$ Versalink;0.16;Stock;SES;
Y45.SI;Singapore Windsor Holdings Ltd;0.61;Stock;SES;
UD2.SI;Japfa Ltd;1.05;Stock;SES;
U6C.SI;PACC Offshore Services Holdings Ltd;0.38;Stock;SES;
U14.SI;UOL Group Ltd;6.42;Stock;SES;
U13.SI;United Overseas Insurance Ltd;4.85;Stock;SES;
U09.SI;UPP Holdings Ltd;0.31;Stock;SES;
T13.SI;RH Petrogas Ltd;0.11;Stock;SES;
S69.SI;Serial System Ltd;0.14;Stock;SES;
S51.SI;SembCorp Marine Ltd;1.51;Stock;SES;
S3N.SI;OKH Global Ltd.;0.06;Stock;SES;
RC5.SI;Triyards Holdings Ltd;0.29;Stock;SES;
