Ticker,Currency,Date,Open,High,Low,Close,Volume,Adj Close
BCY.SI,SGD,2/13/2017,1.125,1.13,1.125,1.13,14800,1.13
BCY.SI,SGD,2/10/2017,1.125,1.125,1.125,1.125,0,1.125
BCY.SI,SGD,2/9/2017,1.125,1.125,1.125,1.125,0,1.125
BCY.SI,SGD,2/8/2017,1.125,1.125,1.125,1.125,3100,1.125
BCY.SI,SGD,2/7/2017,1.12,1.12,1.12,1.12,0,1.12
BCY.SI,SGD,2/6/2017,1.12,1.12,1.12,1.12,5000,1.12
BCY.SI,SGD,2/3/2017,1.12,1.12,1.12,1.12,0,1.12
BCY.SI,SGD,2/2/2017,1.13,1.13,1.12,1.12,9600,1.12
BCY.SI,SGD,2/1/2017,1.13,1.13,1.115,1.115,12300,1.115
BCY.SI,SGD,1/31/2017,1.1,1.115,1.1,1.115,4500,1.115
BCY.SI,SGD,1/30/2017,1.12,1.12,1.12,1.12,0,1.12
BCY.SI,SGD,1/27/2017,1.09,1.12,1.09,1.12,1500,1.12
BCY.SI,SGD,1/26/2017,1.1,1.12,1.1,1.12,12000,1.12
BCY.SI,SGD,1/25/2017,1.095,1.095,1.095,1.095,0,1.095
BCY.SI,SGD,1/24/2017,1.095,1.095,1.09,1.095,10600,1.095
BCY.SI,SGD,1/23/2017,1.085,1.085,1.085,1.085,1100,1.085
BCY.SI,SGD,1/20/2017,1.075,1.075,1.075,1.075,2000,1.075
BCY.SI,SGD,1/19/2017,1.07,1.07,1.07,1.07,2100,1.07
BCY.SI,SGD,1/18/2017,1.055,1.055,1.055,1.055,2200,1.055
BCY.SI,SGD,1/17/2017,1.055,1.055,1.055,1.055,0,1.055
BCY.SI,SGD,1/16/2017,1.065,1.08,1.055,1.055,16600,1.055
BCY.SI,SGD,1/13/2017,1.07,1.07,1.07,1.07,0,1.07
BCY.SI,SGD,1/12/2017,1.07,1.07,1.07,1.07,0,1.07
BCY.SI,SGD,1/11/2017,1.07,1.07,1.07,1.07,0,1.07
BCY.SI,SGD,1/10/2017,1.07,1.07,1.07,1.07,11300,1.07
BCY.SI,SGD,1/9/2017,1.07,1.07,1.04,1.07,23900,1.07
BCY.SI,SGD,1/6/2017,1.06,1.06,1.06,1.06,0,1.06
BCY.SI,SGD,1/5/2017,1.06,1.06,1.06,1.06,0,1.06
BCY.SI,SGD,1/4/2017,1.07,1.07,1.06,1.06,13000,1.06
BCY.SI,SGD,1/3/2017,1.05,1.05,1.05,1.05,2000,1.05
BCY.SI,SGD,1/2/2017,1.02,1.02,1.02,1.02,0,1.02
BCY.SI,SGD,12/30/2016,1.02,1.02,1.02,1.02,500,1.02
BCY.SI,SGD,12/29/2016,1.05,1.05,1.05,1.05,0,1.05
BCY.SI,SGD,12/28/2016,1.05,1.05,1.05,1.05,0,1.05
BCY.SI,SGD,12/27/2016,1.03,1.05,1.03,1.05,1000,1.05
BCY.SI,SGD,12/26/2016,1.01,1.01,1.01,1.01,0,1.01
BCY.SI,SGD,12/23/2016,1.02,1.02,1.01,1.01,6000,1.01
BCY.SI,SGD,12/22/2016,1.03,1.03,1.03,1.03,800,1.03
BCY.SI,SGD,12/21/2016,1.06,1.06,1.02,1.02,5000,1.02
BCY.SI,SGD,12/20/2016,1.04,1.04,1.04,1.04,0,1.04
BCY.SI,SGD,12/19/2016,1.04,1.04,1.04,1.04,6200,1.04
BCY.SI,SGD,12/16/2016,1.05,1.05,1.035,1.035,21000,1.035
BCY.SI,SGD,12/15/2016,1.025,1.025,1.025,1.025,800,1.025
BCY.SI,SGD,12/14/2016,1.03,1.03,1.01,1.01,10800,1.01
