Keppel Corp Ltd;BN4.SI;SES;SGD
Noble Group Ltd;N21.SI;SES;SGD
SEMBCorp Industries Ltd;U96.SI;SES;SGD
DBS Group Holdings Ltd;D05.SI;SES;SGD
United Overseas Bank Ltd;U11.SI;SES;SGD
Global Logistic Properties Ltd;MC0.SI;SES;SGD
ComfortDelGro Corp Ltd;C52.SI;SES;SGD
CapitaLand Ltd;C31.SI;SES;SGD
SATS Ltd;S58.SI;SES;SGD
Singapore Airlines Limited;C6L.SI;SES;SGD
Hongkong Land Holdings Ltd;H78.SI;SES;SGD
StarHub Ltd;CC3.SI;SES;SGD
新加坡技術動力有限公司;S63.SI;SES;SGD
華僑銀行有限公司;O39.SI;SES;SGD
Capitamall Trust;C38U.SI;SES;SGD
$ Starburst;40D.SI;SES;SGD
Singapore Exchange Ltd;S68.SI;SES;SGD
SIA Engineering Co Ltd;S59.SI;SES;SGD
超級集團有限公司;S10.SI;SES;SGD
XinRen Aluminum Holdings Ltd;MN5.SI;SES;SGD
Golden Agri-Resources Ltd;E5H.SI;SES;SGD
Biosensors International Group Ltd;B20.SI;SES;SGD
$ CNMC Goldmine;5TP.SI;SES;SGD
Thai Beverage PLC;Y92.SI;SES;SGD
新加坡報業控股有限公司;T39.SI;SES;SGD
OUE Hospitality Trust;SK7.SI;SES;SGD
KrisEnergy Ltd;SK3.SI;SES;SGD
Sheng Siong Group Ltd;OV8.SI;SES;SGD
Tiger Airways Holdings Ltd;J7X.SI;SES;SGD
Genting Singapore PLC;G13.SI;SES;SGD
Great Eastern Hldgs Ltd;G07.SI;SES;SGD
Wilmar International Ltd;F34.SI;SES;SGD
Lippo Malls Indonesia Retail Trust;D5IU.SI;SES;SGD
ARA Asset Management Limited;D1R.SI;SES;SGD
Thakral Corporation Ltd;AWI.SI;SES;SGD
$ IHC;5WA.SI;SES;SGD
Gallant Venture Ltd;5IG.SI;SES;SGD
UMS Holdings Ltd;558.SI;SES;SGD
Singapore Telecommunications Limited;Z74.SI;SES;SGD
Suntec Real Estate Inv Trust;T82U.SI;SES;SGD
Raffles Medical Group Ltd;R01.SI;SES;SGD
Bumitama Agri Ltd;P8Z.SI;SES;SGD
Cordlife Group Ltd;P8A.SI;SES;SGD
Parkson retail Asia Ltd;O9E.SI;SES;SGD
Osim International Ltd;O23.SI;SES;SGD
Hutchison Port Holdings Trust;NS8U.SI;SES;SGD
Nam Cheong Limited;N4E.SI;SES;SGD
Jardine Strategic Holdings Ltd;J37.SI;SES;SGD
Del Monte Pacific Ltd;D03.SI;SES;SGD
CapitaCommercial Trust;C61U.SI;SES;SGD
City Developments Ltd;C09.SI;SES;SGD
