siblings;key;company_name;record_date;ex_date;annc_type;datepaid_payable;currency;value;tax;interest_start;interest_end; interest_rate;remarks;base;giving;price;before_consolidation;after_consolidation;particulars
19762;27599;LTC CORPORATION LIMITED;08 Nov 2016;04 Nov 2016;DIVIDEND;22 Nov 2016;SGD;0.01;ONE-TIER TAX;;;;;;;;;;SGD 0.01 ONE-TIER TAX
19762;27419;MICRO-MECHANICS (HOLDINGS) LTD;08 Nov 2016;04 Nov 2016;DIVIDEND;18 Nov 2016;SGD;0.01;ONE-TIER TAX;;;;;;;;;;SGD 0.01 ONE-TIER TAX
19762;27420;MICRO-MECHANICS (HOLDINGS) LTD;08 Nov 2016;04 Nov 2016;DIVIDEND;18 Nov 2016;SGD;0.03;ONE-TIER TAX;;;;;;;;;;SGD 0.03 ONE-TIER TAX
19762;27479;TEE INTERNATIONAL LIMITED;08 Nov 2016;04 Nov 2016;DIVIDEND;29 Nov 2016;SGD;0.0018;ONE-TIER TAX;;;;;;;;;;SGD 0.0018 ONE-TIER TAX
19762;27581;WING TAI HLDGS LTD;08 Nov 2016;04 Nov 2016;DIVIDEND;23 Nov 2016;SGD;0.03;ONE-TIER TAX;;;;;;;;;;SGD 0.03 ONE-TIER TAX
19762;27582;WING TAI HLDGS LTD;08 Nov 2016;04 Nov 2016;DIVIDEND;23 Nov 2016;SGD;0.03;ONE-TIER TAX;;;;;;;;;;SGD 0.03 ONE-TIER TAX
19762;27414;GL LIMITED;07 Nov 2016;03 Nov 2016;DIVIDEND;25 Nov 2016;SGD;0.022;None;;;;;;;;;;SGD 0.022
19762;27137;MULTI-CHEM LIMITED;07 Nov 2016;03 Nov 2016;DIVIDEND;21 Nov 2016;SGD;0.0111;ONE-TIER TAX;;;;;;;;;;SGD 0.0111 ONE-TIER TAX
19762;27486;PARKSON RETAIL ASIA LIMITED;07 Nov 2016;03 Nov 2016;DIVIDEND;15 Nov 2016;SGD;0.005;ONE-TIER TAX;;;;;;;;;;SGD 0.005 ONE-TIER TAX
19762;27395;SILVERLAKE AXIS LTD;07 Nov 2016;03 Nov 2016;DIVIDEND;18 Nov 2016;SGD;0.01;ONE-TIER TAX;;;;;;;;;;SGD 0.01 ONE-TIER TAX
19762;27530;CHUAN HUP HOLDINGS LIMITED;04 Nov 2016;02 Nov 2016;DIVIDEND;18 Nov 2016;SGD;0.01;ONE-TIER TAX;;;;;;;;;;SGD 0.01 ONE-TIER TAX
19762;27374;TAI SIN ELECTRIC LIMITED;03 Nov 2016;01 Nov 2016;DIVIDEND;10 Nov 2016;SGD;0.016;ONE-TIER TAX;;;;;;;;;;SGD 0.016 ONE-TIER TAX
19762;27610;YAMADA GREEN RESOURCES LIMITED;03 Nov 2016;01 Nov 2016;DIVIDEND;17 Nov 2016;CNY;0.008;ONE-TIER TAX;;;;;;;;;;CNY 0.008 ONE-TIER TAX
19762;27378;HEALTH MANAGEMENT INTL LTD;02 Nov 2016;31 Oct 2016;DIVIDEND;11 Nov 2016;MYR;0.0075;ONE-TIER TAX;;;;;;;;;;MYR 0.0075 ONE-TIER TAX
19762;27606;NOEL GIFTS INTERNATIONAL LTD;02 Nov 2016;31 Oct 2016;DIVIDEND;14 Nov 2016;SGD;0.009;ONE-TIER TAX;;;;;;;;;;SGD 0.009 ONE-TIER TAX
19762;27607;NOEL GIFTS INTERNATIONAL LTD;02 Nov 2016;31 Oct 2016;DIVIDEND;14 Nov 2016;SGD;0.006;ONE-TIER TAX;;;;;;;;;;SGD 0.006 ONE-TIER TAX
19762;27421;GUOCOLAND LIMITED;01 Nov 2016;28 Oct 2016;DIVIDEND;22 Nov 2016;SGD;0.04;ONE-TIER TAX;;;;;;;;;;SGD 0.04 ONE-TIER TAX
19762;27422;GUOCOLAND LIMITED;01 Nov 2016;28 Oct 2016;DIVIDEND;22 Nov 2016;SGD;0.05;ONE-TIER TAX;;;;;;;;;;SGD 0.05 ONE-TIER TAX
19762;27379;KARIN TECHNOLOGY HLDGS LIMITED;01 Nov 2016;28 Oct 2016;DIVIDEND;17 Nov 2016;HKD;0.118;ONE-TIER TAX;;;;;;;;;;HKD 0.118 ONE-TIER TAX
19762;27535;PCI LIMITED;01 Nov 2016;28 Oct 2016;DIVIDEND;11 Nov 2016;SGD;0.03;ONE-TIER TAX;;;;;;;;;;SGD 0.03 ONE-TIER TAX
19762;27476;UG HEALTHCARE CORPORATION LTD;01 Nov 2016;28 Oct 2016;DIVIDEND;15 Dec 2016;SCRIP SGD;0.00587;ONE-TIER TAX;;;;;;;;;;SCRIP SGD 0.00587 ONE-TIER TAX
19762;27500;CHINA EASTERN AIR ADR 10;31 Oct 2016;27 Oct 2016;DIVIDEND;19 Dec 2016;USD;0.343609;None;;;;;;;;;;USD 0.343609
19762;27528;TEE LAND LIMITED;31 Oct 2016;27 Oct 2016;DIVIDEND;22 Nov 2016;SGD;0.0041;ONE-TIER TAX;;;;;;;;;;SGD 0.0041 ONE-TIER TAX
19762;27054;ELLIPSIZ LTD;28 Oct 2016;26 Oct 2016;DIVIDEND;18 Nov 2016;SGD;0.01;ONE-TIER TAX;;;;;;;;;;SGD 0.01 ONE-TIER TAX
19762;27055;ELLIPSIZ LTD;28 Oct 2016;26 Oct 2016;DIVIDEND;18 Nov 2016;SGD;0.008;ONE-TIER TAX;;;;;;;;;;SGD 0.008 ONE-TIER TAX
19762;27426;RYOBI KISO HOLDINGS LTD.;28 Oct 2016;26 Oct 2016;DIVIDEND;08 Nov 2016;SGD;0.003;ONE-TIER TAX;;;;;;;;;;SGD 0.003 ONE-TIER TAX
19762;27543;SIN GHEE HUAT CORPORATION LTD.;28 Oct 2016;26 Oct 2016;DIVIDEND;15 Nov 2016;SGD;0.005;ONE-TIER TAX;;;;;;;;;;SGD 0.005 ONE-TIER TAX
19762;27412;SPINDEX INDUSTRIES LIMITED;27 Oct 2016;25 Oct 2016;DIVIDEND;16 Nov 2016;SGD;0.023;ONE-TIER TAX;;;;;;;;;;SGD 0.023 ONE-TIER TAX
19762;27569;HSBC ADR 10;21 Oct 2016;19 Oct 2016;DIVIDEND;06 Dec 2016;USD;0.5;None;;;;;;;;;;USD 0.5
19762;27620;RHT HEALTH TRUST;21 Oct 2016;19 Oct 2016;DIVIDEND;28 Oct 2016;SGD;0.248;ONE-TIER TAX;;;;;;;;;;SGD 0.248 ONE-TIER TAX
19762;27618;SOILBUILD BUSINESS SPACE REIT;20 Oct 2016;18 Oct 2016;DIVIDEND;14 Nov 2016;;;;;;;;;;;;;010716-300916 SGD 0.01399 LESS TAX
19762;27511;CIMB S&P ASIA PACIFIC DIVIDEND;17 Oct 2016;13 Oct 2016;DIVIDEND;28 Oct 2016;USD;0.031;ONE-TIER TAX;;;;;;;;;;USD 0.031 ONE-TIER TAX
19762;27597;SPH REIT;14 Oct 2016;12 Oct 2016;DIVIDEND;16 Nov 2016;SGD;0.0141;LESS TAX;;;;;;;;;;SGD 0.0141 LESS TAX
19762;27556;YUEXIU PROPERTY CO LIMITED;14 Oct 2016;12 Oct 2016;DIVIDEND;16 Nov 2016;HKD;0.033;None;;;;;;;;;;HKD 0.033
19762;27617;HYFLUX 6% CUM PREF CLASS A 10;12 Oct 2016;10 Oct 2016;DIVIDEND;25 Oct 2016;;;;;;;;;;;;;250416 - 241016 6% ONE-TIER TAX
19762;27616;UNITED OVERSEAS AUSTRALIA LTD;12 Oct 2016;10 Oct 2016;DIVIDEND;03 Nov 2016;DRP AUD;0.005;None;;;;;;;;;;DRP AUD 0.005
19762;27612;GKE CORPORATION LIMITED;11 Oct 2016;07 Oct 2016;DIVIDEND;31 Oct 2016;SGD;0.006;ONE-TIER TAX;;;;;;;;;;SGD 0.006 ONE-TIER TAX
19762;27611;UMS HOLDINGS LIMITED;11 Oct 2016;07 Oct 2016;DIVIDEND;28 Oct 2016;SGD;0.01;ONE-TIER TAX;;;;;;;;;;SGD 0.01 ONE-TIER TAX
19762;27602;NEW TOYO INT HLDGS LTD;10 Oct 2016;06 Oct 2016;DIVIDEND;18 Oct 2016;SGD;0.006;ONE-TIER TAX;;;;;;;;;;SGD 0.006 ONE-TIER TAX
19762;27600;SHANGHAI TURBO ENTERPRISES LTD;10 Oct 2016;06 Oct 2016;DIVIDEND;28 Oct 2016;CNY;0.25;None;;;;;;;;;;CNY 0.25
19762;27601;TLV HOLDINGS LIMITED;10 Oct 2016;06 Oct 2016;DIVIDEND;18 Oct 2016;SGD;0.00388;ONE-TIER TAX;;;;;;;;;;SGD 0.00388 ONE-TIER TAX
19762;27598;LCT HOLDINGS LIMITED;07 Oct 2016;05 Oct 2016;DIVIDEND;14 Oct 2016;SGD;0.7;ONE-TIER TAX;;;;;;;;;;SGD 0.7 ONE-TIER TAX
19762;27596;CHASEN HOLDINGS LIMITED;06 Oct 2016;04 Oct 2016;DIVIDEND;28 Oct 2016;SGD;0.0005;ONE-TIER TAX;;;;;;;;;;SGD 0.0005 ONE-TIER TAX
19762;27591;KOH BROTHERS GROUP LIMITED;06 Oct 2016;04 Oct 2016;DIVIDEND;12 Oct 2016;DIST IN SPECIE SGD;0.0046;None;;;;;;;;;;DIST IN SPECIE SGD 0.0046
19762;27593;LIAN BENG GROUP LTD;06 Oct 2016;04 Oct 2016;DIVIDEND;14 Oct 2016;SGD;0.01;ONE-TIER TAX;;;;;;;;;;SGD 0.01 ONE-TIER TAX
19762;27594;LIAN BENG GROUP LTD;06 Oct 2016;04 Oct 2016;DIVIDEND;14 Oct 2016;SGD;0.01;ONE-TIER TAX;;;;;;;;;;SGD 0.01 ONE-TIER TAX
19762;27566;GRP LTD;03 Oct 2016;29 Sep 2016;DIVIDEND;07 Oct 2016;DIST IN SPECIE SGD;0.04;None;;;;;;;;;;DIST IN SPECIE SGD 0.04
19762;27565;JAYA HOLDINGS LTD;03 Oct 2016;29 Sep 2016;DIVIDEND;17 Oct 2016;SGD;0.252;ONE-TIER TAX;;;;;;;;;;SGD 0.252 ONE-TIER TAX
19762;27567;RIVERSTONE HOLDINGS LIMITED;03 Oct 2016;29 Sep 2016;DIVIDEND;13 Oct 2016;MYR;0.013;ONE-TIER TAX;;;;;;;;;;MYR 0.013 ONE-TIER TAX
19762;27568;SMARTFLEX HOLDINGS LTD;03 Oct 2016;29 Sep 2016;DIVIDEND;10 Oct 2016;SGD;0.085;ONE-TIER TAX;;;;;;;;;;SGD 0.085 ONE-TIER TAX
19762;27525;AIMS PROPERTY SECURITIES FUND;30 Sep 2016;28 Sep 2016;DIVIDEND;16 Dec 2016;AUD;0.021443;None;;;;;;;;;;AUD 0.021443
19762;26999;MURATA MFG CO. LTD 100;30 Sep 2016;28 Sep 2016;DIVIDEND;05 Dec 2016;JPY;110;LESS TAX;;;;;;;;;;JPY 110 LESS TAX
19762;27560;SINGAPORE EXCHANGE LIMITED;30 Sep 2016;28 Sep 2016;DIVIDEND;07 Oct 2016;SGD;0.13;ONE-TIER TAX;;;;;;;;;;SGD 0.13 ONE-TIER TAX
