date;base_currency;conversion_currency;value
2016/11/08;SGD;USD;0.71988
2016/11/09;SGD;USD;0.71666
2016/11/10;SGD;USD;0.70968
2016/11/14;SGD;USD;0.70542
2016/11/15;SGD;USD;0.70642
2016/11/16;SGD;USD;0.70677
2016/11/17;SGD;USD;0.70527
2016/11/18;SGD;USD;0.70146
2016/11/21;SGD;USD;0.70105
2016/11/22;SGD;USD;0.70187
2016/11/23;SGD;USD;0.698
2016/11/24;SGD;USD;0.6983
2016/11/25;SGD;USD;0.69986
2016/11/28;SGD;USD;0.70114
2016/11/29;SGD;USD;0.70086
2016/11/30;SGD;USD;0.69738
2016/12/01;SGD;USD;0.7007
2016/12/02;SGD;USD;0.70386
2016/12/05;SGD;USD;0.7026
2016/12/06;SGD;USD;0.70439
2016/12/07;SGD;USD;0.7051
2016/12/08;SGD;USD;0.70222
2016/12/09;SGD;USD;0.69865
2016/12/12;SGD;USD;0.70129
2016/12/13;SGD;USD;0.70229
2016/12/14;SGD;USD;0.70281
2016/12/15;SGD;USD;0.69068
2016/12/16;SGD;USD;0.69201
2016/12/19;SGD;USD;0.69157
2016/12/20;SGD;USD;0.69233
2016/12/21;SGD;USD;0.69264
2016/12/22;SGD;USD;0.6906
2016/12/23;SGD;USD;0.6911
2016/12/28;SGD;USD;0.68855
2016/12/29;SGD;USD;0.69039
2016/12/30;SGD;USD;0.69122
2017/01/03;SGD;USD;0.68969
2017/01/04;SGD;USD;0.69398
2017/01/05;SGD;USD;0.69953
2017/01/06;SGD;USD;0.6956
2017/01/09;SGD;USD;0.69694
2017/01/10;SGD;USD;0.69692
2017/01/11;SGD;USD;0.69619
2017/01/12;SGD;USD;0.70312
2017/01/13;SGD;USD;0.69859
2017/01/16;SGD;USD;0.69954
2017/01/17;SGD;USD;0.70552
2017/01/18;SGD;USD;0.70244
2017/01/19;SGD;USD;0.69975
2017/01/20;SGD;USD;0.70088
2017/01/23;SGD;USD;0.70479
2017/01/24;SGD;USD;0.70521
2017/01/25;SGD;USD;0.70577
2017/01/26;SGD;USD;0.70162
2017/01/27;SGD;USD;0.70011
2017/01/30;SGD;USD;0.70312
2017/01/31;SGD;USD;0.70928
2017/02/01;SGD;USD;0.70662
2017/02/02;SGD;USD;0.70988
2017/02/03;SGD;USD;0.71063
2017/02/06;SGD;USD;0.7084
2017/02/07;SGD;USD;0.70601
2017/02/08;SGD;USD;0.70685
