Stock Name;Ticker;Exchange Name;Currency;
Adamas Pharma Cmn;ADMS;NASDAQ;USD;
Automatic Data Procs;ADP;NASDAQ;USD;
Bldrs Asia 50 Fd;ADRA;NASDAQ;USD;
Bldrs Dev Mkts 100;ADRD;NASDAQ;USD;
Bldrs EM Mkts 50;ADRE;NASDAQ;USD;
Aduro Biotech Cmn;ADRO;NASDAQ;USD;
Bldrs EUR 100 Fd;ADRU;NASDAQ;USD;
Autodesk Inc;ADSK;NASDAQ;USD;
Adtran Inc;ADTN;NASDAQ;USD;
Addus Homecare Corpo;ADUS;NASDAQ;USD;
Adverum Biotechnlgs;ADVM;NASDAQ;USD;
Advaxis Inc Cmn Stk;ADXS;NASDAQ;USD;
Advaxis Inc Wts;ADXSW;NASDAQ;USD;
Aegion Corp Cmn Stk;AEGN;NASDAQ;USD;
Aehr Test Systems;AEHR;NASDAQ;USD;
Advanced Energy;AEIS;NASDAQ;USD;
Aethlon Medical Cmn;AEMD;NASDAQ;USD;
AEP Inds Inc;AEPI;NASDAQ;USD;
Aerie Pharmaceutical;AERI;NASDAQ;USD;
American Electric Te;AETI;NASDAQ;USD;
Addvantage Techs Grp;AEY;NASDAQ;USD;
Aeterna Zentaris;AEZS;NASDAQ;USD;
Almost Family Inc;AFAM;NASDAQ;USD;
Atlas Fincl Hld Ord;AFH;NASDAQ;USD;
Affimed N.V.;AFMD;NASDAQ;USD;
Amtrust Financial;AFSI;NASDAQ;USD;
Agenus Inc;AGEN;NASDAQ;USD;
Agrofresh Solutions;AGFS;NASDAQ;USD;
Agrofresh Sol Wrrnts;AGFSW;NASDAQ;USD;
Argo Group Intl Hlds;AGII;NASDAQ;USD;
Argo Grp Itl Snr NTS;AGIIL;NASDAQ;USD;
Agios Pharmaceutical;AGIO;NASDAQ;USD;
Aeglea Biothera Cmn;AGLE;NASDAQ;USD;
American Capital Age;AGNC;NASDAQ;USD;
American Cap Agy Cor;AGNCB;NASDAQ;USD;
American Capital Pfd;AGNCP;NASDAQ;USD;
Wt Brclys Usagg Ndur;AGND;NASDAQ;USD;
Agile Therap Cmn Stk;AGRX;NASDAQ;USD;
Applied Genetic Tech;AGTC;NASDAQ;USD;
Agilysys Inc;AGYS;NASDAQ;USD;
Wt Barc Usagg Zro Dr;AGZD;NASDAQ;USD;
Alliance Holdings Gp;AHGP;NASDAQ;USD;
Avista Healthcare Public Acquisition Corp. Class;AHPA;NASDAQ;USD;
Avista Healthcare Public Acquisition Corp;AHPAU;NASDAQ;USD;
Avista Healthcare Public Acquisition Corp. Warra;AHPAW;NASDAQ;USD;
Allied Healthcare;AHPI;NASDAQ;USD;
Ishares Asia 50 ETF;AIA;NASDAQ;USD;
Altra Indtl Mtn Cmn;AIMC;NASDAQ;USD;
Aimmune Therap Cmn;AIMT;NASDAQ;USD;
Apollo Investment Co;AINV;NASDAQ;USD;
Alliance Hlthcare Cmn;AIQ;NASDAQ;USD;
Airgain Inc;AIRG;NASDAQ;USD;
Air Methods Cp;AIRM;NASDAQ;USD;
First Trust Rba Am I;AIRR;NASDAQ;USD;
Air T Inc;AIRT;NASDAQ;USD;
Akamai Technologies;AKAM;NASDAQ;USD;
Achaogen Inc Cmn;AKAO;NASDAQ;USD;
Akebia Therapeutics;AKBA;NASDAQ;USD;
Akers Biosciences Cmn;AKER;NASDAQ;USD;
Akorn Inc;AKRX;NASDAQ;USD;
Akari Therapeutics;AKTX;NASDAQ;USD;
Albireo Pharma Inc;ALBO;NASDAQ;USD;
Alico Inc;ALCO;NASDAQ;USD;
Alder Biopharma Cmn;ALDR;NASDAQ;USD;
Aldeyra Therapeu Cmn;ALDX;NASDAQ;USD;
Align Technology I;ALGN;NASDAQ;USD;
Allegiant Travel Com;ALGT;NASDAQ;USD;
Alimera Sciences Inc;ALIM;NASDAQ;USD;
Alj Regional Hold Cmn;ALJJ;NASDAQ;USD;
Alkermes Plc;ALKS;NASDAQ;USD;
Allot Communications;ALLT;NASDAQ;USD;
Alnylam Pharmaceut;ALNY;NASDAQ;USD;
Analogic Cp;ALOG;NASDAQ;USD;
Astronova Inc;ALOT;NASDAQ;USD;
Alliqua Biomedical;ALQA;NASDAQ;USD;
Alarm.Com Cmn;ALRM;NASDAQ;USD;
Alaska Commun Sys;ALSK;NASDAQ;USD;
Global X Sprdv ETF;ALTY;NASDAQ;USD;
Alexion Pharm Inc;ALXN;NASDAQ;USD;
Amag Pharmaceuticals;AMAG;NASDAQ;USD;
Applied Materials;AMAT;NASDAQ;USD;
Ambarella Inc;AMBA;NASDAQ;USD;
Ambac Financial Grp;AMBC;NASDAQ;USD;
Ambac Financial Grp;AMBCW;NASDAQ;USD;
Applied Micro Crcts;AMCC;NASDAQ;USD;
Airmedia Group Inc;AMCN;NASDAQ;USD;
Amc Networks Cl A;AMCX;NASDAQ;USD;
Adv Micro Devices;AMD;NASDAQ;USD;
Amedica Corporation;AMDA;NASDAQ;USD;
Amedisys Inc;AMED;NASDAQ;USD;
Amgen;AMGN;NASDAQ;USD;
Amkor Technology;AMKR;NASDAQ;USD;
Alliance Mma Inc;AMMA;NASDAQ;USD;
American Natl Bksh;AMNB;NASDAQ;USD;
Allied Motion Tech;AMOT;NASDAQ;USD;
Amphastar Pharma Cmn;AMPH;NASDAQ;USD;
American River Bkshs;AMRB;NASDAQ;USD;
Albany Molecular Res;AMRI;NASDAQ;USD;
A-Mark Precious Meta;AMRK;NASDAQ;USD;
Amarin Corp Ads;AMRN;NASDAQ;USD;
Amyris Inc;AMRS;NASDAQ;USD;
Amer Superconductor;AMSC;NASDAQ;USD;
Amerisafe Inc;AMSF;NASDAQ;USD;
Amer Software Inc;AMSWA;NASDAQ;USD;
TD Ameritrade HD Cmn;AMTD;NASDAQ;USD;
Aemetis Inc Cmn Stk;AMTX;NASDAQ;USD;
Amer Woodmark Cp;AMWD;NASDAQ;USD;
Amazon.Com Inc;AMZN;NASDAQ;USD;
Anaptysbio Inc.;ANAB;NASDAQ;USD;
Amer Natl Insurance;ANAT;NASDAQ;USD;
Anchor Bancorp;ANCB;NASDAQ;USD;
Access National Corp;ANCX;NASDAQ;USD;
Andina Acq Cp Ord Sh;ANDA;NASDAQ;USD;
Andina Acq Cp Rt;ANDAR;NASDAQ;USD;
Andina Acq Cp Unit;ANDAU;NASDAQ;USD;
Andina Acq Cp Wt;ANDAW;NASDAQ;USD;
Andersons Inc;ANDE;NASDAQ;USD;
Angie's List Inc;ANGI;NASDAQ;USD;
Angiodynamics Inc;ANGO;NASDAQ;USD;
Anika Therapeutics;ANIK;NASDAQ;USD;
ANI  Pharma Inc;ANIP;NASDAQ;USD;
Ansys Inc;ANSS;NASDAQ;USD;
Anthera Pharmaceutic;ANTH;NASDAQ;USD;
Sphere 3D Corp.;ANY;NASDAQ;USD;
American Outdoor Brands Corp.;AOBC;NASDAQ;USD;
Alpha and Omega Semi;AOSL;NASDAQ;USD;
Applied Dna Scns Cmn;APDN;NASDAQ;USD;
Applied Dna Sci Wrnt;APDNW;NASDAQ;USD;
American Pub. Edu.;APEI;NASDAQ;USD;
Apollo Endosurgery Inc;APEN;NASDAQ;USD;
Archrock Partners LP;APLP;NASDAQ;USD;
Apogee Entrpr Inc;APOG;NASDAQ;USD;
Apollo Ed Grp A;APOL;NASDAQ;USD;
Cellect Biotechnology Ltd;APOP;NASDAQ;USD;
Cellect Biotechnology Ltd;APOPW;NASDAQ;USD;
Appfolio Cl A Cmn;APPF;NASDAQ;USD;
Digital Turbine Cmn;APPS;NASDAQ;USD;
Apricus Biosc Inc;APRI;NASDAQ;USD;
Apptio Inc;APTI;NASDAQ;USD;
Aptose Bioscns Cmn;APTO;NASDAQ;USD;
Aptevo Therapeutics Inc;APVO;NASDAQ;USD;
Asia Pac Wire &Cable;APWC;NASDAQ;USD;
Aquabounty Technologies Inc.;AQB;NASDAQ;USD;
Aquabounty Technologies Inc.;AQBTV;NASDAQ;USD;
Aqua Metals Inc Cmn;AQMS;NASDAQ;USD;
Aquinox Pharmaceutic;AQXP;NASDAQ;USD;
Accuray Incorporated;ARAY;NASDAQ;USD;
Arcbest Corp;ARCB;NASDAQ;USD;
Ares Capital Corp;ARCC;NASDAQ;USD;
Applnc Rcycl Ct Amer;ARCI;NASDAQ;USD;
Arc Group Worldwide;ARCW;NASDAQ;USD;
Aradigm Corp Cmn;ARDM;NASDAQ;USD;
Ardelyx Inc Cmn;ARDX;NASDAQ;USD;
Approach Res. Inc;AREX;NASDAQ;USD;
Argos Therapeutics;ARGS;NASDAQ;USD;
Ariad Pharm Inc;ARIA;NASDAQ;USD;
American Railcar Ind;ARII;NASDAQ;USD;
Ari Network Svcs;ARIS;NASDAQ;USD;
Ark Restaurants Cp;ARKR;NASDAQ;USD;
Alliance Resource Pt;ARLP;NASDAQ;USD;
Aralez Pharm Inc;ARLZ;NASDAQ;USD;
Arena Pharmaceutical;ARNA;NASDAQ;USD;
Arrow Financial Corp;AROW;NASDAQ;USD;
Arqule Inc;ARQL;NASDAQ;USD;
Arris Group Inc;ARRS;NASDAQ;USD;
Array Biopharma Inc;ARRY;NASDAQ;USD;
Artesian Res Cp A;ARTNA;NASDAQ;USD;
Art S Way MFG Co I;ARTW;NASDAQ;USD;
Arotech Corp;ARTX;NASDAQ;USD;
Arrowhead Pharma;ARWR;NASDAQ;USD;
Asb Bancorp Inc;ASBB;NASDAQ;USD;
Ascent Capital Group;ASCMA;NASDAQ;USD;
Flxsh Rl As Al Ix Fd;ASET;NASDAQ;USD;
Asta Funding Inc;ASFI;NASDAQ;USD;
Assembly Biosciences;ASMB;NASDAQ;USD;
Asml Hldg NY Reg;ASML;NASDAQ;USD;
Ascena Retail Grp Cmn;ASNA;NASDAQ;USD;
Ascendis Pharma Ads;ASND;NASDAQ;USD;
Altisource Portfolio;ASPS;NASDAQ;USD;
Ameriserv Financial;ASRV;NASDAQ;USD;
Ameriserv Fin Cap;ASRVP;NASDAQ;USD;
Astrotech Corp;ASTC;NASDAQ;USD;
Astec Inds Inc;ASTE;NASDAQ;USD;
Asure Software;ASUR;NASDAQ;USD;
Amtech Systems Inc;ASYS;NASDAQ;USD;
Ata Inc ADR;ATAI;NASDAQ;USD;
Amer First Mf Inv;ATAX;NASDAQ;USD;
Alphatec Holdings;ATEC;NASDAQ;USD;
Athenahealth Inc;ATHN;NASDAQ;USD;
Athersys Inc;ATHX;NASDAQ;USD;
Atlanticus Hldg Cp;ATLC;NASDAQ;USD;
Ames Natl Corp;ATLO;NASDAQ;USD;
Atn International;ATNI;NASDAQ;USD;
Atomera Inc;ATOM;NASDAQ;USD;
Atossa Genetics Inc;ATOS;NASDAQ;USD;
Atara Biotherap Cmn;ATRA;NASDAQ;USD;
Atricure Inc;ATRC;NASDAQ;USD;
Atrion Corp;ATRI;NASDAQ;USD;
Astronics Cp;ATRO;NASDAQ;USD;
Antares Pharma Cmn;ATRS;NASDAQ;USD;
Air Transport;ATSG;NASDAQ;USD;
Attunity Ltd;ATTU;NASDAQ;USD;
Activision Blizzard;ATVI;NASDAQ;USD;
Auburn Natl Bncp I;AUBN;NASDAQ;USD;
Audiocodes Ltd;AUDC;NASDAQ;USD;
Aurinia Pharm Ord;AUPH;NASDAQ;USD;
Aerovironment Inc;AVAV;NASDAQ;USD;
Avadel Pharmaceuticals Plc;AVDL;NASDAQ;USD;
Aveo Pharmaceuticals;AVEO;NASDAQ;USD;
Broadcom Ltd;AVGO;NASDAQ;USD;
Avinger Inc Cmn;AVGR;NASDAQ;USD;
A V Homes Inc;AVHI;NASDAQ;USD;
Avid Tech Inc;AVID;NASDAQ;USD;
Aviragen Therapeutic;AVIR;NASDAQ;USD;
Aviat Networks Inc;AVNW;NASDAQ;USD;
Anavex Lf SC Cmn;AVXL;NASDAQ;USD;
Avexis Inc Cmn Stk;AVXS;NASDAQ;USD;
Aware Inc;AWRE;NASDAQ;USD;
Axar Acquisition Corp.;AXAR;NASDAQ;USD;
Axar Acquisition Corp.;AXARU;NASDAQ;USD;
Axar Acquisition Corp.;AXARW;NASDAQ;USD;
Abraxas Petro Corp;AXAS;NASDAQ;USD;
Accelerate Diagnosti;AXDX;NASDAQ;USD;
Axogen Inc Cmn;AXGN;NASDAQ;USD;
Axsome Thera Cmn Stk;AXSM;NASDAQ;USD;
Axt Inc;AXTI;NASDAQ;USD;
Amaya Inc Cmn Stk;AYA;NASDAQ;USD;
Aspen Technology Cmn;AZPN;NASDAQ;USD;
Azurrx Biopharma Inc;AZRX;NASDAQ;USD;
Natus Medical Inc;BABY;NASDAQ;USD;
Bancfirst Corp;BANF;NASDAQ;USD;
Bfc Capital Trust II;BANFP;NASDAQ;USD;
Banner Corporation;BANR;NASDAQ;USD;
Stonecastle Fncl Cp;BANX;NASDAQ;USD;
Bioanalytical Syst;BASI;NASDAQ;USD;
Liberty Braves CS A;BATRA;NASDAQ;USD;
Liberty Braves CS C;BATRK;NASDAQ;USD;
Bed Bath & Beyond;BBBY;NASDAQ;USD;
Bioshrs Biotec Cl TR;BBC;NASDAQ;USD;
Beasley Brdcst Gr;BBGI;NASDAQ;USD;
Vaneck Vectors Biote;BBH;NASDAQ;USD;
Black Box Cp;BBOX;NASDAQ;USD;
Bioshrs Biotech Prod;BBP;NASDAQ;USD;
Bravo Brio Restauran;BBRG;NASDAQ;USD;
Blackberry Limited;BBRY;NASDAQ;USD;
Barrett Business S;BBSI;NASDAQ;USD;
Bcb Bancorp Inc;BCBP;NASDAQ;USD;
Brainstorm Cell Cmn;BCLI;NASDAQ;USD;
B Communications Ltd;BCOM;NASDAQ;USD;
Blucora Inc Cmn;BCOR;NASDAQ;USD;
Brightcove Inc;BCOV;NASDAQ;USD;
Balchem Cp;BCPC;NASDAQ;USD;
Biocryst Pharma Inc;BCRX;NASDAQ;USD;
Bancorp 34 Inc;BCTF;NASDAQ;USD;
Black Diamond Inc;BDE;NASDAQ;USD;
Bridge Bancorp Inc;BDGE;NASDAQ;USD;
Biodelivery Sci Intl;BDSI;NASDAQ;USD;
Biotelemetry Inc;BEAT;NASDAQ;USD;
BE Aerospace Inc;BEAV;NASDAQ;USD;
Bebe Stores Inc;BEBE;NASDAQ;USD;
Beacon Roofing Suppl;BECN;NASDAQ;USD;
Bel Fuse Cl A;BELFA;NASDAQ;USD;
Bel Fuse Inc Cl B;BELFB;NASDAQ;USD;
Bankfinancial Corpor;BFIN;NASDAQ;USD;
Glbl X Hlth Well ETF;BFIT;NASDAQ;USD;
Bgc Partners Cl A;BGCP;NASDAQ;USD;
Big 5 Sporting;BGFV;NASDAQ;USD;
Beigene Ltd. Ads;BGNE;NASDAQ;USD;
Barington/Hilco Acq;BHAC;NASDAQ;USD;
Barington/Hilco Rgts;BHACR;NASDAQ;USD;
Barington/Hilco Uts;BHACU;NASDAQ;USD;
Barington/Hilco Wts;BHACW;NASDAQ;USD;
Blue Hills Bancorp;BHBK;NASDAQ;USD;
Proshares Ultra Nasdaq Biotech;BIB;NASDAQ;USD;
First Trust BICK Ind;BICK;NASDAQ;USD;
Baidu Inc;BIDU;NASDAQ;USD;
Biogen Inc Cmn;BIIB;NASDAQ;USD;
Biogen Inc.;BIIBV;NASDAQ;USD;
Biocept Inc;BIOC;NASDAQ;USD;
Biolase Inc Cmn;BIOL;NASDAQ;USD;
Bioptix Inc.;BIOP;NASDAQ;USD;
Bioscrip Inc;BIOS;NASDAQ;USD;
Proshrs Ulsht Nq Bio;BIS;NASDAQ;USD;
Bioverativ Inc;BIVVV;NASDAQ;USD;
Bj's Restaurants Inc;BJRI;NASDAQ;USD;
Blackrock Cptl Invt;BKCC;NASDAQ;USD;
Blueknight Energy LP;BKEP;NASDAQ;USD;
Blueknight Srs A Uts;BKEPP;NASDAQ;USD;
Bank Mutual Corp;BKMU;NASDAQ;USD;
Bank of So Car Cp;BKSC;NASDAQ;USD;
Blackline Inc;BL;NASDAQ;USD;
Blue Bird Corp;BLBD;NASDAQ;USD;
Bellicum Pharma Comm;BLCM;NASDAQ;USD;
Ballard Power Sys;BLDP;NASDAQ;USD;
Builders Firstsource;BLDR;NASDAQ;USD;
Biolife Solutions Cmn;BLFS;NASDAQ;USD;
Bridgeline Digital;BLIN;NASDAQ;USD;
Blackbaud Inc;BLKB;NASDAQ;USD;
Bloomin' Brands Inc;BLMN;NASDAQ;USD;
Bsb Bancorp Inc;BLMT;NASDAQ;USD;
Bellerophon Ther Com;BLPH;NASDAQ;USD;
Biolinerx Ltd;BLRX;NASDAQ;USD;
Bluebird Bio Cmn;BLUE;NASDAQ;USD;
Boulevard AC Cm ST A;BLVD;NASDAQ;USD;
Boulevard Acqu Unit;BLVDU;NASDAQ;USD;
Boulevard Acquisi Wt;BLVDW;NASDAQ;USD;
Bmc Stock Holdings;BMCH;NASDAQ;USD;
Recon Bullmark Latam;BMLA;NASDAQ;USD;
Bank of Montreal BMO Elkhorn DWA MLP Select Inde;BMLP;NASDAQ;USD;
Biomerica Inc;BMRA;NASDAQ;USD;
Bank of Marin Bancrp;BMRC;NASDAQ;USD;
Biomarin Pharmaceut;BMRN;NASDAQ;USD;
Bryn Mawr Bank Corp;BMTC;NASDAQ;USD;
Beneficial Bancorp;BNCL;NASDAQ;USD;
BNC Bancorp Inc;BNCN;NASDAQ;USD;
Vanguard Tl Intl Bnd;BNDX;NASDAQ;USD;
Benefitfocus Cmn;BNFT;NASDAQ;USD;
Bonso Elec Intl In;BNSO;NASDAQ;USD;
Benitec Biopharm Ads;BNTC;NASDAQ;USD;
Benitec Biopharm Wrt;BNTCW;NASDAQ;USD;
Bob Evans Farms;BOBE;NASDAQ;USD;
Bank of Commerce Hld;BOCH;NASDAQ;USD;
Bofi Holding Inc;BOFI;NASDAQ;USD;
Bofi Hld Sub Not;BOFIL;NASDAQ;USD;
Bojangles Inc CS;BOJA;NASDAQ;USD;
Bok Financial Corp;BOKF;NASDAQ;USD;
Bok Financial Corporation;BOKFL;NASDAQ;USD;
Audentes Therapeutics Inc Cmn;BOLD;NASDAQ;USD;
Bon Ton Stores The;BONT;NASDAQ;USD;
Dynamic Materials;BOOM;NASDAQ;USD;
Bos Better Online;BOSC;NASDAQ;USD;
Bank of The Jame Fnl;BOTJ;NASDAQ;USD;
Global X Robotics & Artificial Intel Thmtc ETF;BOTZ;NASDAQ;USD;
Boston Pvt Finl Hldg;BPFH;NASDAQ;USD;
Boston Private Dep S;BPFHP;NASDAQ;USD;
Boston Private Wts;BPFHW;NASDAQ;USD;
Blueprint Medi Cm ST;BPMC;NASDAQ;USD;
Popular Inc;BPOP;NASDAQ;USD;
Popular Inc Trust II;BPOPM;NASDAQ;USD;
Popular Inc Trust I;BPOPN;NASDAQ;USD;
Bio-Path Holdings;BPTH;NASDAQ;USD;
Brocade Comm Sys;BRCD;NASDAQ;USD;
Craft Brew Alliance;BREW;NASDAQ;USD;
Bridgford Foods Cp;BRID;NASDAQ;USD;
Brookline Bancorp;BRKL;NASDAQ;USD;
Bruker Corporation;BRKR;NASDAQ;USD;
Brooks Automation;BRKS;NASDAQ;USD;
Bassett Furniture;BSET;NASDAQ;USD;
Bear State Fin Inc;BSF;NASDAQ;USD;
Broadsoft Inc;BSFT;NASDAQ;USD;
Biostar Pharmaceutic;BSPM;NASDAQ;USD;
Bsquare Corp;BSQR;NASDAQ;USD;
Sierra Bancorp;BSRR;NASDAQ;USD;
Biospecifics Tech Cp;BSTC;NASDAQ;USD;
Biostage Cmn Stk;BSTG;NASDAQ;USD;
Banctec Inc;BTEC;NASDAQ;USD;
Blue Buffalo Pet Cmn;BUFF;NASDAQ;USD;
Burcon Nutrascience;BUR;NASDAQ;USD;
First Busey Corp;BUSE;NASDAQ;USD;
Bazaarvoice Inc;BV;NASDAQ;USD;
Broadvision Inc;BVSN;NASDAQ;USD;
Biondvax Pharma Ads;BVXV;NASDAQ;USD;
Biondvax Pharma Wt;BVXVW;NASDAQ;USD;
Broadwind Energy Inc;BWEN;NASDAQ;USD;
Bankwell Financial;BWFG;NASDAQ;USD;
Baldwin Lyons Cl A;BWINA;NASDAQ;USD;
Baldwin Lyons Cl B;BWINB;NASDAQ;USD;
Buffalo Wild Wings;BWLD;NASDAQ;USD;
Bay Bancorp Inc;BYBK;NASDAQ;USD;
Broadway Fin Cp;BYFC;NASDAQ;USD;
Baozun Inc Ads;BZUN;NASDAQ;USD;
CA Inc;CA;NASDAQ;USD;
China Automotive Sys;CAAS;NASDAQ;USD;
Camden Natl Cp;CAC;NASDAQ;USD;
Cascade Bancorp;CACB;NASDAQ;USD;
Credit Acceptance;CACC;NASDAQ;USD;
Caesars Acquisition;CACQ;NASDAQ;USD;
China Advanced Const;CADC;NASDAQ;USD;
8Point3 Energy Cl A;CAFD;NASDAQ;USD;
Cheesecake Fact;CAKE;NASDAQ;USD;
Calithera Biosci Com;CALA;NASDAQ;USD;
Callidus Software;CALD;NASDAQ;USD;
China Auto Logistics;CALI;NASDAQ;USD;
Magicjack Vocaltec L;CALL;NASDAQ;USD;
Cal-Maine Foods In;CALM;NASDAQ;USD;
Calamp Corp;CAMP;NASDAQ;USD;
Camtek Ltd;CAMT;NASDAQ;USD;
Capnia Inc Cmn Stk;CAPN;NASDAQ;USD;
Capnia Inc A Wrnt;CAPNW;NASDAQ;USD;
Capricor Therap Cmn;CAPR;NASDAQ;USD;
Elkhorn S&P 500 Cap;CAPX;NASDAQ;USD;
Avis Budget Group I;CAR;NASDAQ;USD;
Cara Therapeutics;CARA;NASDAQ;USD;
Carbonite Inc;CARB;NASDAQ;USD;
Carolina Finacl Cmn;CARO;NASDAQ;USD;
Carolina Trust Bank;CART;NASDAQ;USD;
Carver Bancorp;CARV;NASDAQ;USD;
First Trust Nq Gbl Auto;CARZ;NASDAQ;USD;
Cascadian Therapeutics Inc;CASC;NASDAQ;USD;
Meta Financial Grp;CASH;NASDAQ;USD;
Casi Phrmactcls Inc;CASI;NASDAQ;USD;
Cas Medical Sys Inc;CASM;NASDAQ;USD;
Cass Information Sys;CASS;NASDAQ;USD;
Casey's General Stor;CASY;NASDAQ;USD;
Catabasis Pharma Cmn;CATB;NASDAQ;USD;
Glbl X SP 500 Cth V;CATH;NASDAQ;USD;
Cardtronics Inc;CATM;NASDAQ;USD;
Cathay Genl Bncp;CATY;NASDAQ;USD;
Cathay General Banc;CATYW;NASDAQ;USD;
Cavium Inc;CAVM;NASDAQ;USD;
China Bak Battery;CBAK;NASDAQ;USD;
Colony Bankcorp Inc;CBAN;NASDAQ;USD;
Cymabay Therapeutics;CBAY;NASDAQ;USD;
Capital Bnk Fin Cl A;CBF;NASDAQ;USD;
Cb Financial Svc Cmn;CBFV;NASDAQ;USD;
Catalyst Bio Cmn;CBIO;NASDAQ;USD;
Cleveland Biolabs;CBLI;NASDAQ;USD;
Cellular Biomedicine;CBMG;NASDAQ;USD;
Combimatrix Corp;CBMX;NASDAQ;USD;
Combimatrix Corp Wt;CBMXW;NASDAQ;USD;
CBOE Holdings Inc;CBOE;NASDAQ;USD;
China Biologic Produ;CBPO;NASDAQ;USD;
Cracker Barrel;CBRL;NASDAQ;USD;
Commerce Bancshares;CBSH;NASDAQ;USD;
Commerce BNC B Dep;CBSHP;NASDAQ;USD;
Capital City Bank Gr;CCBG;NASDAQ;USD;
China Ceramics Co;CCCL;NASDAQ;USD;
China Commercial Cre;CCCR;NASDAQ;USD;
Calams Dy Cnv In Cmn;CCD;NASDAQ;USD;
Chinacache Hldgs ADR;CCIH;NASDAQ;USD;
Csi Compressco Cmn;CCLP;NASDAQ;USD;
Cabot Microelectron;CCMP;NASDAQ;USD;
Cardconnect Corp.;CCN;NASDAQ;USD;
Cnb Financial Corp;CCNE;NASDAQ;USD;
Cardconnect Corp;CCNWW;NASDAQ;USD;
Cogent Comm Hldgs;CCOI;NASDAQ;USD;
China Customer Ord;CCRC;NASDAQ;USD;
Cross Ctry Hlthcr;CCRN;NASDAQ;USD;
Concurrent Computer;CCUR;NASDAQ;USD;
Chemocentryx Inc;CCXI;NASDAQ;USD;
Victory Cemp US Eq I;CDC;NASDAQ;USD;
Centennial Resource Development Inc;CDEV;NASDAQ;USD;
Centennial Resource Development Inc;CDEVW;NASDAQ;USD;
Cdk Global Inc;CDK;NASDAQ;USD;
Victory Cemp US Larg;CDL;NASDAQ;USD;
Caredx Inc Cmn;CDNA;NASDAQ;USD;
Cadence Design Sys;CDNS;NASDAQ;USD;
Condor Hospitality T;CDOR;NASDAQ;USD;
Clean Diesel Technol;CDTI;NASDAQ;USD;
Cidara Thera Cmn;CDTX;NASDAQ;USD;
CDW Corporation;CDW;NASDAQ;USD;
