Stock Name;Ticker;Exchange Name;Currency;
Advanced Accele. Ads;AAAP;NASDAQ;USD;
American Airlines Gp;AAL;NASDAQ;USD;
Atlantic Amer Cp;AAME;NASDAQ;USD;
Applied Optoelect Cmn;AAOI;NASDAQ;USD;
Aaon Inc;AAON;NASDAQ;USD;
Atlantic Alliance Or;AAPC;NASDAQ;USD;
Apple Inc;AAPL;NASDAQ;USD;
Atlas Air Ww;AAWW;NASDAQ;USD;
Ishares MSCI Aca X-Japan;AAXJ;NASDAQ;USD;
Aoxin Tianli Grp;ABAC;NASDAQ;USD;
Abaxis Inc;ABAX;NASDAQ;USD;
Ameris Bancorp;ABCB;NASDAQ;USD;
Cambium Learning Grp;ABCD;NASDAQ;USD;
Advisory Board Co;ABCO;NASDAQ;USD;
Alcentra Capital Com;ABDC;NASDAQ;USD;
Abeona Therapeutics;ABEO;NASDAQ;USD;
Abeona Thera Wts;ABEOW;NASDAQ;USD;
Ability Inc;ABIL;NASDAQ;USD;
Arca Biopharma Inc;ABIO;NASDAQ;USD;
Abiomed Inc;ABMD;NASDAQ;USD;
Autobytel Inc;ABTL;NASDAQ;USD;
Allegiance Banc CS;ABTX;NASDAQ;USD;
Arbutus Biopharma Cp;ABUS;NASDAQ;USD;
Atlantica Yield Plc;ABY;NASDAQ;USD;
Acadia Pharmaceutica;ACAD;NASDAQ;USD;
Amer Capital Ltd;ACAS;NASDAQ;USD;
Arctic Cat Inc;ACAT;NASDAQ;USD;
Atlantic Capital Cmn;ACBI;NASDAQ;USD;
Aceto Cp;ACET;NASDAQ;USD;
Atlantic Coast Finl;ACFC;NASDAQ;USD;
Arch Capital Grp Ltd;ACGL;NASDAQ;USD;
Arch Capital Group Ltd;ACGLP;NASDAQ;USD;
Acadia Healthcr Co;ACHC;NASDAQ;USD;
Achillion Pharmaceut;ACHN;NASDAQ;USD;
Acacia Communica Cmn;ACIA;NASDAQ;USD;
AC Immune Sa;ACIU;NASDAQ;USD;
Aci Worldwide Inc;ACIW;NASDAQ;USD;
Axcelis Tech Inc;ACLS;NASDAQ;USD;
Acnb Corp;ACNB;NASDAQ;USD;
Acorda Therapeutics;ACOR;NASDAQ;USD;
Aclaris Therapts Cmn;ACRS;NASDAQ;USD;
Acelrx Pharmaceutica;ACRX;NASDAQ;USD;
American Capital Sen;ACSF;NASDAQ;USD;
Acasti Pharma Cmn A;ACST;NASDAQ;USD;
Actua Corp Cmn;ACTA;NASDAQ;USD;
Acacia Res-Acacia;ACTG;NASDAQ;USD;
Glbl X Guru Actv ETF;ACTX;NASDAQ;USD;
Acura Pharma Cmn;ACUR;NASDAQ;USD;
Ishares MSCI ACWI;ACWI;NASDAQ;USD;
Ishares MSCI ACWI;ACWX;NASDAQ;USD;
Acxiom Cp;ACXM;NASDAQ;USD;
Adaptimmune Ther Ads;ADAP;NASDAQ;USD;
Adobe Systems Inc;ADBE;NASDAQ;USD;
Advanced Emissions Solutions Inc;ADES;NASDAQ;USD;
Alcobra Ltd. Ord;ADHD;NASDAQ;USD;
Analog Devices Cmn;ADI;NASDAQ;USD;
Adma Biologics Cmn;ADMA;NASDAQ;USD;
Adamis Pharmaceuticl;ADMP;NASDAQ;USD;
